"WairaThais","@Alexmey7 @MariaCespedesc @PCaterianoB Centrandonos en el tema de la minería, perfectamente esta claro que puede ser favorable pero si tu no consideras en cuidar el ecosistema es destruir y contaminar parte del lugar donde se encuentran los residentes , es es el tema central","Cuestion-de-confianza",2,"2020-08-05 23:50:33",1.29115969199797E+018,"Alexmey7","WairaThais"
"sirasavi","@Alexmey7 @MariaCespedesc @PCaterianoB Gobierno: No aceptó donación de oxigeno del sector privado en Arequipa, convirtió las instituciones del Estado en agencia de empleo de amigos/familiares, dio dinero Reactiva Perú a empresas ODEBRECHT, miente con la cantidad de fallecidos por Covid-19 ¿Qué quiere El Ejecutivo? 👏","Cuestion-de-confianza",3,"2020-08-05 23:47:33",1.29115893576917E+018,"Alexmey7","sirasavi"
"Alexmey7","@MariaCespedesc @PCaterianoB Si bien Cateriano c expreso d mala forma muxo tiene d verdad acerca d su partido el cual hasta el día d hoy ni sikiera está claro el problema dentro d su dirigencia, más acciones sra y no hagan los q otros hacen y al parecer c dejan llevar en sus votaciones","Cuestion-de-confianza",4,"2020-08-05 19:22:00",1.2910921077515E+018,"Alexmey7","Alexmey7"
"mercedes220894","@FreddyLvsng80 @MariaCespedesc @PCaterianoB @FREPAP_FIA los del FREPAP no saben nada de nada solo tienen secundaria completa no aporta nada al congreso pero cobran mas que cualquier profesional del Perú ese el problema","Cuestion-de-confianza",2,"2020-08-05 23:22:52",1.29115272437404E+018,"FreddyLvsng80","mercedes220894"
"sirasavi","@mercedes220894 @FreddyLvsng80 @MariaCespedesc @PCaterianoB @FREPAP_FIA Gobierno: No aceptó donación de oxigeno del sector privado en Arequipa, convirtió las instituciones del Estado en agencia de empleo de amigos/familiares, dio dinero Reactiva Perú a empresas ODEBRECHT, miente con la cantidad de fallecidos por Covid-19 ¿Qué quiere El Ejecutivo? 👏","Cuestion-de-confianza",2,"2020-08-05 23:46:15",1.2911586065792E+018,"mercedes220894","sirasavi"
"FreddyLvsng80","@mercedes220894 @MariaCespedesc @PCaterianoB @FREPAP_FIA La mayoría son analfabetos. Tenemos de ejemplo Beteta, Arimborgo, Ananculí. Los congresistas son representantes de cada ciudad y no necesitan ser letrados, por eso contratan asesores que chambeen por ellos. Lo malo es que contratan principiantes, que los dejan en evidencia!","Cuestion-de-confianza",3,"2020-08-05 23:45:17",1.29115836487825E+018,"mercedes220894","FreddyLvsng80"
"sawasqa","@Conny2407 @MariaCespedesc @PCaterianoB No puedes declarar respecto de entrada y luego insinuar desconocimiento. La posición política esta precisa y clara, respecto de quien da Luz Verde.","Cuestion-de-confianza",2,"2020-08-05 17:31:24",1.29106427444248E+018,"Conny2407","sawasqa"
"gsalazarq","@gino_rt @MariaCespedesc @PCaterianoB Claro que sí papu. https://t.co/6ORfExeRic","Cuestion-de-confianza",2,"2020-08-05 17:36:29",1.29106555203581E+018,"gino_rt","gsalazarq"
"gino_rt","@gsalazarq @MariaCespedesc @PCaterianoB Cateriano no era Premier por ser católico, ni en el gobierno se siguen ritos o vestimentas semejantes al de hace 2 mil años. Este gobierno es laico. La religión es personal y la vive cada quien pero en su vida privada...🙄","Cuestion-de-confianza",3,"2020-08-05 21:52:50",1.29113006695772E+018,"gsalazarq","gino_rt"
"MiguelRaymundo1","@gsalazarq @gino_rt @MariaCespedesc @PCaterianoB Pues con razon todas las mineras son santas y la santa confiep, y los que deben a los bancos que se frieguen no. Se quedo callado.","Cuestion-de-confianza",2,"2020-08-06 00:06:16",1.29116364497851E+018,"gsalazarq","MiguelRaymundo1"
